0;Baku;Bosnia Herzegovina;927011;213,366
1;Vienna;Botswana;927562;32,949
3;Ouagadougou;Central African Rep;612395;118,108
5;Sofia;Barbados;948723;545,533
6;Sucre;Belize;862313;192,736
8;Sucre;Bolivia;839487;77,031
10;Ottawa;Belgium;639897;654,697
11;Hanga Roa;Benin;882792;244,064
15;Jerusalem;Brunei;775807;659,344
16;New Delhi;Cameroon;962234;3,284
23;New Delhi;Bosnia Herzegovina;947808;76,33
24;Sofia;Bolivia;956127;29,443
25;Vienna;Barbados;713175;201,092
28;Sucre;Cambodia;832888;483,503
29;La Paz;Cameroon;525241;108,306
31;La Paz;Burkina;841484;283,199
32;Helsinki;Bulgaria;921622;24,054
34;Ouagadougou;Benin;613487;767,648
37;West Island;Belarus;670822;81,409
38;Tbilisi;Burundi;559706;728,04
39;Moroni;Canada;759862;55,095
43;Manama;Bhutan;932640;819,299
44;Ouagadougou;Canada;517030;16,283
45;Copenhagen;Burundi;765762;407,207
46;Hanga Roa;Cambodia;978867;65,985
47;Asmara;Bolivia;785104;73,858
48;Baku;Cambodia;929792;134,077
49;Ottawa;Bulgaria;790297;417,035
50;Sucre;Central African Rep;820117;344,794
51;Papeete;Bahrain;985545;113,927
53;Conakry;Bolivia;544197;353,614
54;Helsinki;Brazil;836463;128,892
57;Asmara;Central African Rep;527515;243,397
59;Moroni;Benin;632826;282,141
61;Copenhagen;Barbados;649720;98,41
64;New Delhi;Canada;745349;297,929
65;Sofia;Belgium;998625;5,077
66;Brasília;Benin;631539;187,53
68;Prague;Benin;834350;292,745
69;Tbilisi;Belgium;548657;277,52
70;Baku;Bangladesh;591546;284,953
71;Baku;Bhutan;790891;115,201
72;Ouagadougou;Barbados;625809;396,829
73;Moroni;Belgium;879827;55,656
74;Tbilisi;Benin;942194;191,816
78;Prague;Bahrain;903918;177,223
82;Vienna;Belize;889951;89,465
89;Sofia;Barbados;708463;138,924
90;Helsinki;Bulgaria;985631;19,119
91;Copenhagen;Belgium;704675;391,787
93;Ouagadougou;Central African Rep;897136;587,797
96;Asmara;Burkina;960776;154,645
98;Prague;Brunei;654521;136,188
100;Sofia;Belgium;864025;65,235
101;Sucre;Botswana;889007;538,535
105;Tbilisi;Canada;984568;88,36
106;Helsinki;Cameroon;717663;16,677
109;Helsinki;Belarus;567335;12,833
111;Ottawa;Belgium;778006;125,987
112;Sofia;Botswana;659821;19,349
114;Conakry;Brazil;895987;708,399
115;Conakry;Bosnia Herzegovina;940700;351,363
116;Hanga Roa;Benin;898952;14,412
117;Hanga Roa;Botswana;808170;577,68
118;La Paz;Bangladesh;962917;154,697
120;Asmara;Central African Rep;544539;129,129
121;Hanga Roa;Belgium;617762;401,939
122;Jerusalem;Benin;800580;45,574
123;Jerusalem;Brunei;581606;32,846
125;Tbilisi;Brunei;678156;9,952
126;Helsinki;Benin;951589;452,835
128;Ottawa;Canada;871754;323,972
129;New Delhi;Belize;889562;425,438
132;Canberra;Brazil;601922;190,127
134;Sucre;Belarus;769636;520,122
135;West Island;Bolivia;711587;323,071
139;New Delhi;Belize;598802;773,474
141;Moroni;Cambodia;555884;297,653
146;Sucre;Cambodia;893038;672,4
148;Sofia;Bulgaria;793236;42,02
149;Conakry;Benin;576517;90,821
152;Hanga Roa;Bolivia;528848;164,233
153;La Paz;Belarus;506961;379,918
154;Baku;Bahrain;507980;164,523
156;La Paz;Benin;873612;510,219
157;La Paz;Botswana;614423;52,832
158;Asmara;Cape Verde;775026;672,573
160;Helsinki;Cambodia;665075;7,715
163;Sofia;Brazil;676804;78,923
165;Manama;Belize;649245;27,621
167;West Island;Bulgaria;771340;116,512
168;Helsinki;Belarus;518410;451,463
171;Sucre;Bulgaria;900388;347,495
174;Hanga Roa;Cambodia;900401;243,455
179;Jerusalem;Canada;656472;39,046
181;Hanga Roa;Brazil;565454;331,294
182;Sucre;Belgium;789994;290,246
183;Sucre;Bhutan;602568;31,45
186;Asmara;Bhutan;758254;40,252
188;Hanga Roa;Central African Rep;950691;132,554
189;Copenhagen;Central African Rep;592964;376,806
190;Copenhagen;Benin;615282;9,546
191;Canberra;Canada;993775;529,925
192;Brasília;Botswana;733234;150,387
193;Tbilisi;Bosnia Herzegovina;735621;8,084
194;Sucre;Canada;745282;81,808
196;Jerusalem;Cambodia;532029;58,275
197;Ouagadougou;Burundi;827737;32,519
198;Sofia;Central African Rep;876342;876,402
199;Manama;Belize;794922;16,332
200;Sucre;Belgium;542705;181,218
201;Helsinki;Brazil;745369;795,515
202;Baku;Botswana;887736;785,777
203;West Island;Central African Rep;653121;243,098
204;Baku;Brunei;691511;254,35
205;La Paz;Central African Rep;768270;913,717
208;Tbilisi;Central African Rep;991360;56,797
